Model,Accuracy,Balanced Accuracy,F1 Score,Time Taken
LinearSVC,0.98989898989899,0.976589213998853,0.989853267332575,0.247954368591309
LabelSpreading,0.98989898989899,0.976589213998853,0.989853267332575,0.204869747161865
XGBClassifier,0.98989898989899,0.976589213998853,0.989853267332575,13.7474212646484
SVC,0.98989898989899,0.976589213998853,0.989853267332575,0.0331530570983887
SGDClassifier,0.98989898989899,0.976589213998853,0.989853267332575,0.0402872562408447
RidgeClassifierCV,0.98989898989899,0.976589213998853,0.989853267332575,0.0408861637115479
RidgeClassifier,0.98989898989899,0.976589213998853,0.989853267332575,0.010772705078125
RandomForestClassifier,0.98989898989899,0.976589213998853,0.989853267332575,0.157864809036255
LogisticRegression,0.98989898989899,0.976589213998853,0.989853267332575,0.0275013446807861
BaggingClassifier,0.98989898989899,0.976589213998853,0.989853267332575,0.0238263607025146
LinearDiscriminantAnalysis,0.98989898989899,0.976589213998853,0.989853267332575,0.0364773273468018
LGBMClassifier,0.98989898989899,0.976589213998853,0.989853267332575,0.0945968627929688
LabelPropagation,0.98989898989899,0.976589213998853,0.989853267332575,0.169497013092041
KNeighborsClassifier,0.98989898989899,0.976589213998853,0.989853267332575,0.0422658920288086
ExtraTreesClassifier,0.98989898989899,0.976589213998853,0.989853267332575,0.11465311050415
ExtraTreeClassifier,0.98989898989899,0.976589213998853,0.989853267332575,0.00764560699462891
DecisionTreeClassifier,0.98989898989899,0.976589213998853,0.989853267332575,0.00985884666442871
CalibratedClassifierCV,0.98989898989899,0.976589213998853,0.989853267332575,0.76893424987793
Perceptron,0.965656565656566,0.972933809928511,0.967187627267145,0.00997638702392578
PassiveAggressiveClassifier,0.961616161616162,0.971029048023749,0.966337266124267,0.0108215808868408
BernoulliNB,0.929292929292929,0.945468882048645,0.929779863618847,0.0102028846740723
NearestCentroid,0.816161616161616,0.873785884498277,0.816383514123944,0.00852012634277344
GaussianNB,0.717171717171717,0.832387344279311,0.727352736228013,0.00884437561035156
AdaBoostClassifier,0.822222222222222,0.785109007458405,0.814521223529768,0.0930991172790527
QuadraticDiscriminantAnalysis,0.666666666666667,0.384036144578313,0.596795802985457,0.014378547668457
DummyClassifier,0.486868686868687,0.25,0.318846069389548,0.00688624382019043
